"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2020","3.8916","3.8753","3.8997","3.8728","","0.49%"
"01/28/2020","3.8726","3.8820","3.8886","3.8733","","-0.22%"
"01/27/2020","3.8811","3.8575","3.8872","3.8544","","0.61%"
"01/24/2020","3.8577","3.8409","3.8668","3.8342","","0.47%"
"01/23/2020","3.8397","3.8203","3.8504","3.8179","","0.53%"
"01/22/2020","3.8195","3.8175","3.8308","3.8137","","0.06%"
"01/21/2020","3.8171","3.8246","3.8328","3.8087","","-0.18%"
"01/20/2020","3.8239","3.8233","3.8314","3.8173","","0.02%"
"01/17/2020","3.8230","3.7998","3.8270","3.7956","","0.66%"
"01/16/2020","3.7981","3.7940","3.8049","3.7880","","0.15%"
"01/15/2020","3.7926","3.7945","3.8019","3.7819","","-0.01%"
"01/14/2020","3.7930","3.8017","3.8061","3.7864","","-0.21%"
"01/13/2020","3.8010","3.8091","3.8168","3.7990","","-0.13%"
"01/10/2020","3.8061","3.8223","3.8333","3.8040","","-0.37%"
"01/09/2020","3.8204","3.8108","3.8280","3.8057","","0.25%"
"01/08/2020","3.8108","3.8052","3.8203","3.7994","","0.18%"
"01/07/2020","3.8041","3.7799","3.8115","3.7779","","0.67%"
"01/06/2020","3.7788","3.8024","3.8076","3.7785","","-0.62%"
"01/03/2020","3.8022","3.7957","3.8275","3.7906","","0.20%"
"01/02/2020","3.7947","3.7940","3.8075","3.7885","","0.04%"
"01/01/2020","3.7930","3.7933","3.7933","3.7933","","0.00%"
"12/31/2019","3.7930","3.7987","3.8026","3.7852","","-0.14%"
"12/30/2019","3.7985","3.8129","3.8149","3.7919","","-0.36%"
"12/27/2019","3.8123","3.8372","3.8414","3.8093","","-0.59%"
"12/26/2019","3.8348","3.8440","3.8470","3.8310","","-0.21%"
"12/25/2019","3.8427","3.8430","3.8468","3.8379","","0.04%"
"12/24/2019","3.8413","3.8523","3.8568","3.8347","","-0.26%"
"12/23/2019","3.8512","3.8403","3.8561","3.8359","","0.25%"
"12/20/2019","3.8415","3.8328","3.8470","3.8254","","0.26%"
"12/19/2019","3.8316","3.8391","3.8407","3.8258","","-0.19%"
"12/18/2019","3.8388","3.8210","3.8458","3.8173","","0.50%"
"12/17/2019","3.8197","3.8202","3.8342","3.8115","","0.02%"
"12/16/2019","3.8191","3.8372","3.8514","3.8177","","-0.46%"
"12/13/2019","3.8367","3.8503","3.8513","3.8210","","-0.29%"
"12/12/2019","3.8479","3.8479","3.8622","3.8398","","0.01%"
"12/11/2019","3.8476","3.8675","3.8736","3.8414","","-0.49%"
"12/10/2019","3.8666","3.8753","3.8782","3.8641","","-0.19%"
"12/09/2019","3.8738","3.8700","3.8777","3.8630","","0.25%"
"12/06/2019","3.8642","3.8516","3.8788","3.8452","","0.35%"
"12/05/2019","3.8506","3.8628","3.8656","3.8486","","-0.28%"
"12/04/2019","3.8616","3.8663","3.8700","3.8497","","-0.10%"
"12/03/2019","3.8653","3.8702","3.8779","3.8595","","-0.08%"
"12/02/2019","3.8685","3.9132","3.9186","3.8627","","-1.17%"
"11/29/2019","3.9142","3.9243","3.9340","3.9093","","-0.15%"
"11/28/2019","3.9202","3.9190","3.9316","3.9106","","0.10%"
"11/27/2019","3.9164","3.9061","3.9228","3.9042","","0.29%"
"11/26/2019","3.9049","3.9025","3.9123","3.8988","","0.09%"
"11/25/2019","3.9013","3.8993","3.9072","3.8934","","0.06%"
"11/22/2019","3.8990","3.8879","3.9028","3.8770","","0.29%"
"11/21/2019","3.8876","3.8793","3.8918","3.8716","","0.24%"
"11/20/2019","3.8783","3.8681","3.8867","3.8661","","0.26%"
"11/19/2019","3.8681","3.8784","3.8832","3.8661","","-0.26%"
"11/18/2019","3.8780","3.8681","3.8832","3.8647","","0.34%"
"11/15/2019","3.8648","3.8883","3.8926","3.8651","","-0.60%"
"11/14/2019","3.8880","3.8993","3.9090","3.8854","","-0.27%"
"11/13/2019","3.8985","3.8888","3.9032","3.8849","","0.25%"
"11/12/2019","3.8888","3.8735","3.8925","3.8684","","0.43%"
"11/11/2019","3.8723","3.8709","3.8786","3.8655","","0.05%"
"11/08/2019","3.8704","3.8542","3.8743","3.8510","","0.42%"
"11/07/2019","3.8544","3.8544","3.8588","3.8442","","0.03%"
"11/06/2019","3.8534","3.8510","3.8589","3.8458","","0.09%"
"11/05/2019","3.8499","3.8346","3.8570","3.8277","","0.41%"
"11/04/2019","3.8341","3.8073","3.8376","3.8038","","0.73%"
"11/01/2019","3.8064","3.8217","3.8249","3.8049","","-0.37%"
"10/31/2019","3.8205","3.8188","3.8276","3.8107","","0.08%"
"10/30/2019","3.8174","3.8421","3.8481","3.8168","","-0.62%"
"10/29/2019","3.8414","3.8498","3.8624","3.8354","","-0.21%"
"10/28/2019","3.8493","3.8614","3.8660","3.8472","","-0.30%"
"10/25/2019","3.8609","3.8531","3.8654","3.8428","","0.21%"
"10/24/2019","3.8530","3.8394","3.8589","3.8284","","0.38%"
"10/23/2019","3.8384","3.8371","3.8542","3.8352","","0.04%"
"10/22/2019","3.8370","3.8361","3.8461","3.8300","","0.04%"
"10/21/2019","3.8356","3.8417","3.8447","3.8263","","0.12%"
"10/18/2019","3.8309","3.8498","3.8566","3.8319","","-0.42%"
"10/17/2019","3.8471","3.8690","3.8779","3.8412","","-0.53%"
"10/16/2019","3.8676","3.8900","3.9011","3.8642","","-0.56%"
"10/15/2019","3.8893","3.8964","3.9086","3.8847","","-0.18%"
"10/14/2019","3.8963","3.8967","3.9103","3.8884","","-0.07%"
"10/11/2019","3.8989","3.9169","3.9197","3.8884","","-0.45%"
"10/10/2019","3.9166","3.9394","3.9410","3.9118","","-0.57%"
"10/09/2019","3.9392","3.9467","3.9537","3.9323","","-0.10%"
"10/08/2019","3.9430","3.9453","3.9545","3.9372","","-0.03%"
